year,lg,team,div,g,w,l,own-fga,fgm,fta,ftm,orb,drb,a,pf,dq,stl,to,blk,pts,3pa,3pm,opp-fga,fgm,fta,ftm,orb,drb,a,pf,dq,stl,to,blk,pts,3pa,3pm,po-g,w,l,own-fga,fgm,fta,ftm,orb,drb,a,pf,dq,stl,to,blk,pts,3pa,3pm,opp-fga,fgm,fta,ftm,orb,drb,a,pf,dq,stl,to,blk,pts,3pa,3pm
2011-12,N,ATL,e,66,40,26,5348,2429,1385,1025,652,2066,1481,1178,8,536,921,303,6375,1330,492,5366,2380,1324,997,712,2079,1354,1263,11,494,999,313,6148,1137,391,6,2,4,476,191,97,76,60,195,105,119,1,33,92,20,493,113,35,460,199,121,97,42,205,119,113,1,54,77,37,521,88,26
2011-12,N,BOS,A,66,39,27,5086,2341,1308,1017,509,2051,1557,1315,9,498,979,362,6062,988,363,5262,2207,1498,1138,781,2070,1233,1217,7,515,1035,304,5896,1117,344,20,11,9,1543,676,432,345,159,638,396,433,5,164,260,98,1790,326,93,1564,668,448,318,211,633,363,396,2,131,273,88,1770,358,116
2011-12,N,CHA,e,66,7,59,5293,2193,1462,1090,677,1894,1326,1249,5,397,957,361,5739,892,263,5411,2568,1486,1115,778,2193,1537,1341,5,499,890,378,6657,1142,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
