code,con,div,city,team,fran,league,1st,last
Van,w,nw,Vancouver,Canucks,Van,NHL,1998-99,
Atl,,w,Atlanta,Flames,Cal,NHL,1972-73,1973-74
Atl,cc,p,Atlanta,Flames,Cal,NHL,1974-75,1979-80
NYI,,e,New York,Islanders,NYI,NHL,1972-73,1973-74
NYI,cc,p,New York,Islanders,NYI,NHL,1974-75,1980-81
NYI,wa,p,New York,Islanders,NYI,NHL,1981-82,1992-93
NYI,e,at,New York,Islanders,NYI,NHL,1993-94,
Alb,,w,Alberta,Oilers,Edm,WHA,1972-73,1972-73
Chi,,w,Chicago,Cougars,ChA,WHA,1972-73,1972-73
Chi,,e,Chicago,Cougars,ChA,WHA,1973-74,1974-75
Cle,,e,Cleveland,Crusaders,MnA,WHA,1972-73,1975-76
Hou,,w,Houston,Aeros,Hou,WHA,1972-73,1976-77
Hou,,,Houston,Aeros,Hou,WHA,1977-78,1977-78
LA,,w,Los Angeles,Sharks,MB,WHA,1972-73,1973-74
Min,,w,Minnesota,Fighting Saints,MnA,WHA,1972-73,1975-76
NE,,e,New England,Whalers,Car,WHA,1972-73,1976-77
NE,,,New England,Whalers,Car,WHA,1977-78,1978-79
NY,,e,New York,Raiders,SD,WHA,1972-73,1972-73
Ott,,e,Ottawa,Nationals,Bir,WHA,1972-73,1972-73
Phi,,e,Philadelphia,Blazers,CaA,WHA,1972-73,1972-73
Que,,e,Quebec,Nordiques,Col,WHA,1972-73,1973-74
Que,,ca,Quebec,Nordiques,Col,WHA,1974-75,1975-76
Que,,e,Quebec,Nordiques,Col,WHA,1976-77,1976-77
Que,,,Quebec,Nordiques,Col,WHA,1977-78,1978-79
Win,,w,Winnipeg,Jets,Pho,WHA,1972-73,1973-74
Win,,ca,Winnipeg,Jets,Pho,WHA,1974-75,1975-76
Win,,w,Winnipeg,Jets,Pho,WHA,1976-77,1976-77
Win,,,Winnipeg,Jets,Pho,WHA,1977-78,1978-79
Edm,,w,Edmonton,Oilers,Edm,WHA,1973-74,1973-74
Edm,,ca,Edmonton,Oilers,Edm,WHA,1974-75,1975-76
Edm,,w,Edmonton,Oilers,Edm,WHA,1976-77,1976-77
Edm,,,Edmonton,Oilers,Edm,WHA,1977-78,1978-79
NYJ,,e,New York,Golden Blades,SD,WHA,1973-74,1973-74
NYJ,,e,New Jersey,Knights,SD,WHA,1973-74,1973-74
Tor,,e,Toronto,Toros,Bir,WHA,1973-74,1973-74
Tor,,ca,Toronto,Toros,Bir,WHA,1974-75,1975-76
Van,,w,Vancouver,Blazers,CaA,WHA,1973-74,1973-74
Van,,ca,Vancouver,Blazers,CaA,WHA,1974-75,1974-75
KC,cc,s,Kansas City,Scouts,NJ,NHL,1974-75,1975-76
Was,wa,n,Washington,Capitals,Was,NHL,1974-75,1978-79
Was,cc,p,Washington,Capitals,Was,NHL,1979-80,1980-81
Was,wa,p,Washington,Capitals,Was,NHL,1981-82,1992-93
Was,e,at,Washington,Capitals,Was,NHL,1993-94,1997-98
Was,e,se,Washington,Capitals,Was,NHL,1998-99,
Ind,,e,Indianapolis,Racers,Ind,WHA,1974-75,1976-77
Ind,,,Indianapolis,Racers,Ind,WHA,1977-78,1978-79
MB,,w,Michigan,Stags,MB,WHA,1974-75,1974-75
MB,,w,Baltimore,Blades,MB,WHA,1974-75,1974-75
Pho,,w,Phoenix,Roadrunners,PhA,WHA,1974-75,1976-77
SD,,w,San Diego,Mariners,SD,WHA,1974-75,1976-77
Cal,,ca,Calgary,Cowboys,CaA,WHA,1975-76,1975-76
Cal,,w,Calgary,Cowboys,CaA,WHA,1976-77,1976-77
Cin,,e,Cincinnati,Stingers,Cin,WHA,1975-76,1976-77
Cin,,,Cincinnati,Stingers,Cin,WHA,1977-78,1978-79
DO,,w,Denver,Spurs,DO,WHA,1975-76,1975-76
DO,,w,Ottawa,Civics,DO,WHA,1975-76,1975-76
