code,use,last,first,middle(s),last,suffix,nick,note,pos,hf,hi,wt,s/c,bm,bd,by,tob,sob,cob,dm,dd,dy,tod,sod,cod
erreb001,Bob,Errey,Robert,,Errey,,,,L,5,10,185,L,9,21,1964,Montreal,QC,Canada,,,,,,
ersbe001,Erik,Ersberg,,,,,,,G,5,11,182,L,3,8,1982,Sala,,Sweden,,,,,,
erskj001,John,Erskine,,,,,,,D,6,4,216,L,6,26,1980,Kingston,ON,Canada,,,,,,
esaul001,Len,Esau,Leonard,Roy,Esau,,,,D,6,3,190,R,6,3,1968,Meadow Lake,SK,Canada,,,,,,
eschr001,Robert,Esche,Robert,L.,Esche,,,,G,6,1,210,L,1,22,1978,Utica,NY,USA,,,,,,
espop001,Phil,Esposito,Philip,Anthony,Esposito,,Flipper,,C,6,1,205,L,2,20,1942,Sault Ste. Marie,ON,Canada,,,,,,
espot001,Tony,Esposito,Anthony,James,Esposito,,Tony O,,G,5,11,185,R,4,23,1943,Sault Ste. Marie,ON,Canada,,,,,,
esseb001,Bob,Essensa,Robert,Earle,Essensa,,,,G,6,0,190,L,1,14,1965,Toronto,ON,Canada,,,,,,
evanb001,Brennan,Evans,,,,,,,D,6,3,220,L,1,16,1982,Camrose,AB,Canada,,,,,,
evanc001,Chris,Evans,Christopher,Bruce,Evans,,Big Indian,,D,5,9,180,L,9,14,1946,Toronto,ON,Canada,5,9,2000,,,
evanc002,Claude,Evans,Claude,,Evans,,,,G,5,8,165,L,4,28,1933,Longueuil,QC,Canada,,,Deceased,,,
evand001,Daryl,Evans,Daryl,Thomas,Evans,,Reggie,,L,5,9,185,L,1,12,1961,Toronto,ON,Canada,,,,,,
evand002,Doug,Evans,Douglas,Thomas,Evans,,,,L,5,9,185,L,6,2,1963,Peterborough,ON,Canada,,,,,,
evanj001,Jack,Evans,William,John Trevor,Evans,,Tex/The Quiet Man,,D,6,0,185,L,4,21,1928,Morriston,,South Wales,11,10,1996,,,
evanj002,John Paul,Evans,John,Paul,Evans,,,,C,5,9,185,R,5,2,1954,Toronto,ON,Canada,,,,,,
evank001,Kevin,Evans,Kevin,Robert,Evans,,,,L,5,9,185,L,7,10,1965,Peterborough,ON,Canada,,,,,,
evanp001,Paul,Evans,Paul,Edward Vincent,Evans,,,,R,5,11,175,L,2,24,1955,Peterborough,ON,Canada,,,,,,
evans001,Shawn,Evans,Shawn,,Evans,,,,D,6,3,195,L,9,7,1965,Kingston,ON,Canada,,,,,,
evans002,Stewart,Evans,Stewart,,Evans,,Stew,,D,5,10,170,L,6,19,1908,Ottawa,ON,Canada,6,9,1996,,,
evasd001,Dean,Evason,Dean,C.,Evason,,,,C,5,10,180,R,8,22,1964,Flin Flon,MB,Canada,,,,,,
evo-b001,Bill,Evo,William,Brian,Evo,,,,R,6,2,185,L,2,21,1954,Royal Oak,MI,USA,,,,,,
ewent001,Todd,Ewen,Todd,Gordon,Ewen,,Animal,,R,6,2,230,R,3,22,1966,Saskatoon,SK,Canada,,,,,,
exelg001,Garnet,Exelby,,,,,,,D,6,1,210,L,8,16,1981,Craik,SK,Canada,,,,,,
exelr001,Randy,Exelby,Randy,,Exelby,,,,G,5,9,170,L,8,13,1965,Toronto,ON,Canada,,,,,,
ezinb001,Bill,Ezinicki,William,,Ezinicki,,Wild Bill/Ezzie,,R,5,10,170,R,3,11,1924,Winnipeg,MB,Canada,,,,,,
faheb001,Brian,Fahey,,,,,,,D,6,1,216,,3,2,1981,Des Plaines,IL,USA,,,,,,
fahej001,Jim,Fahey,,,,,,,D,6,0,205,R,5,11,1979,Boston,MA,USA,,,,,,
fahet001,Trevor,Fahey,John,Trevor,Fahey,,,,L,6,1,175,L,1,4,1944,New Waterford,NS,Canada,,,,,,
fairb001,Bill,Fairbairn,William,John,Fairbairn,,Billy the Kid/Magnet,,R,5,10,170,R,1,7,1947,Brandon,MB,Canada,,,,,,
fairc001,Cade,Fairchild,,,,,,,D,5,11,190,,1,15,1989,Duluth,MN,USA,,,,,,
fairk001,Kelly,Fairchild,Kelly,,Fairchild,,,,C,5,11,180,L,4,9,1973,Hibbing,MN,USA,,,,,,
falkb001,Bob,Falkenberg,Robert,Arthur,Falkenberg,,Steady,,D,6,0,185,L,1,1,1946,Stettler,AB,Canada,,,,,,
falkj001,Justin,Falk,,,,,,,D,6,5,215,L,10,11,1988,Snow Flake,MB,Canada,,,,,,
falkc001,Craig,Falkman,Craig,,Falkman,,,,R,5,11,190,R,8,1,1943,St. Paul,MN,USA,,,,,,
fallp001,Pat,Falloon,Patrick,J.,Falloon,,,,R,5,11,190,R,9,22,1972,Foxwarren,MB,Canada,,,,,,
fanks001,Scott,Fankhouser,Scott,,Fankhouser,,,,G,6,2,205,L,7,1,1975,Bismarck,ND,USA,,,,,,
fardr001,Richard,Farda,Richard,,Farda,,,,C,5,9,175,L,11,8,1945,Brno,,Czech Republic,,,,,,
farkj001,Jeff,Farkas,Jeffrey,Thomas,Farkas,,,,C,6,0,185,L,1,24,1978,Williamsville,NY,USA,,,,,,
farrw001,Walt,Farrant,Walter,Leslie,Farrant,,Whitey,,R,5,10,155,R,8,12,1912,Toronto,ON,Canada,,,Deceased,,,
farrm001,Mike,Farrell,,,,,,,R,6,0,222,R,10,20,1978,Edina,MN,USA,,,,,,
farrd001,Dave,Farrish,David,Allan,Farrish,,Omar,,D,6,1,195,L,8,1,1956,Wingham,ON,Canada,,,,,,
farrr001,Rocky,Farr,Norman,Richard,Farr,,,,G,5,10,175,R,4,7,1947,Toronto,ON,Canada,,,,,,
fashg001,Gordie,Fashoway,Gordon,W.,Fashoway,,,,L,5,11,180,L,6,16,1926,Portage la Prairie,MB,Canada,,,,,,
fastb001,Brad,Fast,,,,,,,D,6,0,195,L,2,21,1980,Fort St. John,BC,Canada,,,,,,
fatad001,Drew,Fata,,,,,,,D,6,1,211,L,7,28,1983,Sault Ste. Marie,ON,Canada,,,,,,
fatar001,Rico,Fata,Rico,,Fata,,,,R,6,0,205,L,2,12,1980,Sault Ste. Marie,ON,Canada,,,,,,
faubm001,Mario,Faubert,Mario,,Faubert,,,,D,6,1,175,R,12,2,1954,Valleyfield,QC,Canada,,,,,,
faula001,Alex,Faulkner,Selm,Alexander,Faulkner,,,,C,5,8,165,L,5,21,1936,Bishops Falls,NL,Canada,,,,,,
faulj001,Justin,Faulk,,,,,,,D,6,0,205,,3,20,1992,South St. Paul,MN,USA,,,,,,
faust001,Ted,Fauss,Theodore,William,Fauss,,,,D,6,2,205,L,6,30,1961,Clinton,NY,USA,,,,,,
fausa001,Andre,Faust,Andre,,Faust,,,,L,5,11,191,L,10,7,1969,Joliette,QC,Canada,,,,,,
faved001,Doug,Favell,Douglas,Robert,Favell,,,,G,5,10,172,L,4,5,1945,St. Catharines,ON,Canada,,,,,,
faynm001,Mark,Fayne,,,,,,,D,6,3,215,,5,15,1987,Nashua,NH,USA,,,,,,
feamd001,Dave,Feamster,David,Allan,Feamster,,,,D,5,11,180,L,9,10,1958,Detroit,MI,USA,,,,,,
featg001,Glen,Featherstone,Glen,,Featherstone,,Feather,,D,6,4,209,L,7,8,1968,Toronto,ON,Canada,,,,,,
featt001,Tony,Featherstone,Anthony,James,Featherstone,,,,R,5,11,187,R,7,31,1949,Toronto,ON,Canada,,,,,,
fedeb001,Bernie,Federko,Bernard,Allan,Federko,,,,C,6,0,178,L,5,12,1956,Foam Lake,SK,Canada,,,,,,
fedof001,Fedor,Fedorov,,,,,,,C,6,3,230,L,6,11,1981,Appatity,,Russia,,,,,,
fedom001,Mike,Fedorko,Michael,,Fedorko,,,,C,6,0,190,R,9,13,1956,Hamilton,ON,Canada,,,,,,
fedos001,Sergei,Fedorov,Sergei,Viktorovich,Fedorov,,FedEx,,C,6,2,205,L,12,13,1969,Pskov,,Russia,,,,,,
fedot001,Todd,Fedoruk,,,,,,,L,6,2,235,L,2,13,1979,Redwater,AB,Canada,,,,,,
fedoa001,Anatoli,Fedotov,Anatoli,,Fedotov,,,,D,5,11,178,L,5,11,1966,Saratov,,USSR,,,,,,
fedor001,Ruslan,Fedotenko,,,,,,,L,6,2,195,L,1,18,1979,Kiev,,Ukraine,,,,,,
fedyb001,Brent,Fedyk,Brent,,Fedyk,,Feds,,R,6,0,194,R,3,8,1967,Yorkton,SK,Canada,,,,,,
fehre001,Eric,Fehr,,,,,,,R,6,4,212,R,9,7,1985,Winkler,MB,Canada,,,,,,
felic001,Chris,Felix,Christopher,Robin,Felix,,,,D,5,11,190,R,5,27,1964,Bramalea,ON,Canada,,,,,,
felsb001,Brian,Felsner,Brian,,Felsner,,Felz,,L,5,11,189,L,11,11,1972,Mt. Clemens,MI,USA,,,,,,
felsd001,Denny,Felsner,Denny,Walter,Felsner,,,,R,6,0,195,L,4,29,1970,Warren,MI,USA,,,,,,
feltt001,Tony,Feltrin,Anthony,Louis,Feltrin,,,,D,6,1,184,L,12,6,1961,Ladysmith,BC,Canada,,,,,,
fentp001,Paul,Fenton,Paul,John,Fenton,,,,L,5,11,180,L,12,22,1959,Springfield,MA,USA,,,,,,
fenyd001,David,Fenyves,David,Alan,Fenyves,,,,D,6,0,192,L,4,29,1960,Dunnville,ON,Canada,,,,,,
ferea001,Andrew,Ference,Andrew,James,Ference,,,,D,5,11,189,L,3,17,1979,Edmonton,AB,Canada,,,,,,
fereb001,Brad,Ference,Bradley,,Ference,,,,D,6,3,218,R,4,2,1979,Calgary,AB,Canada,,,,,,
fergc001,Craig,Ferguson,Craig,,Ferguson,,,,C,5,11,190,L,4,8,1970,Castro Valley,CA,USA,,,,,,
fergg001,George,Ferguson,George,Stephen,Ferguson,,Chief,,R,6,0,195,R,8,22,1952,Trenton,ON,Canada,,,,,,
fergj001,John,Ferguson,John,Bowie,Ferguson,,Fergy,,L,5,11,190,L,9,5,1938,Vancouver,BC,Canada,7,14,2007,Windsor,ON,Canada
fergl001,Lorne,Ferguson,Lorne,Robert,Ferguson,,Fergie,,L,6,0,175,L,5,26,1930,Palmerston,ON,Canada,3,28,2008,Kingston,ON,Canada
fergn001,Norm,Ferguson,Norman,Gerard,Ferguson,,,,R,5,9,165,R,10,16,1945,Sydney,NS,Canada,,,,,,
fergs001,Scott,Ferguson,Scott,,Ferguson,,,,D,6,1,195,L,1,6,1973,Camrose,AB,Canada,,,,,,
fergt001,Tom,Fergus,Thomas,Joseph,Fergus,,Fergie,,C,6,3,210,L,6,16,1962,Chicago,IL,USA,,,,,,
ferlj001,Jonathan,Ferland,,,,,,,R,6,2,212,R,2,9,1983,Ste-Marie-de-Beauce,QC,Canada,,,,,,
fernm001,Manny,Fernandez,Emmanuel,,Fernandez,,,,G,6,0,207,L,8,27,1974,Etobicoke,ON,Canada,,,,,,
fernm002,Mark,Ferner,Mark,E.,Ferner,,,,D,6,0,193,L,9,5,1965,Regina,SK,Canada,,,,,,
ferrc001,Chris,Ferraro,Christopher,,Ferraro,,,,C,5,9,175,R,1,24,1973,Port Jefferson,NY,USA,,,,,,
ferrp001,Peter,Ferraro,Peter,Joseph,Ferraro,,,,R,5,10,180,R,1,24,1973,Port Jefferson,NY,USA,,,,,,
ferrr001,Ray,Ferraro,Raymond,,Ferraro,,,,C,5,9,200,L,8,23,1964,Trail,BC,Canada,,,,,,
ferrb001,Benn,Ferriero,,,,,,,C,5,10,185,R,4,29,1987,Boston,MA,USA,,,,,,
festb001,Brett,Festerling,,,,,,,D,6,1,201,L,3,3,1986,Quesnel,BC,Canada,,,,,,
fetiv001,Viacheslav,Fetisov,Viacheslav,,Fetisov,,Slava,,D,6,1,220,L,4,20,1958,Moscow,,Russia,,,,,,
fibij001,Jesse,Fibiger,,,,,,,D,6,3,210,L,4,4,1978,Victoria,BC,Canada,,,,,,
fiche001,Eric,Fichaud,Eric,,Fichaud,,,,G,5,11,179,L,11,4,1975,Anjue,QC,Canada,,,,,,
fiddv001,Vern,Fiddler,,,,,,,C,5,11,204,L,5,9,1980,Edmonton,AB,Canada,,,,,,
fidlm001,Mike,Fidler,Michael,Edward,Fidler,,,,L,5,11,195,L,8,19,1956,Everett,MA,USA,,,,,,
fielg001,Guyle,Fielder,Guyle,Abner,Fielder,,,,C,5,9,165,L,11,21,1930,Potlach,ID,USA,,,,,,
fielw001,Wilf,Field,Wilfred,Spence,Field,,,,D,5,11,185,R,4,29,1915,Winnipeg,MB,Canada,3,17,1979,,,
figam001,Milan,Figala,,,,,,,D,,,,,,,,,,,,,,,,
filan001,Nikita,Filatov,,,,,,,L,6,0,172,R,5,25,1990,Moscow,,Russia,,,,,,
filej001,Jonathan,Filewich,,,,,,,R,6,2,208,R,10,2,1984,Kelowna,BC,Canada,,,,,,
filid001,Dmitri,Filimonov,Dmitri,,Filimonov,,,,D,6,4,220,R,10,14,1971,Perm,,Russia,,,,,,
fillb001,Bob,Fillion,Robert,Louis,Fillion,,,,L,5,10,170,L,7,12,1921,Thetford Mines,QC,Canada,,,,,,
fillm001,Marcel,Fillion,Marcel,,Fillion,,,,R,5,7,175,L,5,28,1923,Thetford Mines,QC,Canada,5,15,1998,,,
filmt001,Tommy,Filmore,Thomas,H.,Filmore,,,,R,5,11,189,R,3,14,1906,Thamesford,ON,Canada,1,11,1954,Clearwater,FL,USA
filpv001,Valtteri,Filppula,,,,,,,C,6,0,193,L,3,20,1984,Vantaa,,Finland,,,,,,
fingj001,Jeff,Finger,,,,,,,D,6,1,205,R,12,18,1979,Hancock,MI,USA,,,,,,
finkl001,Lloyd,Finkbeiner,Lloyd,Cecil,Finkbeiner,,,,L,5,10,175,L,4,12,1920,Guelph,ON,Canada,3,30,1999,,,
finlb001,Brian,Finley,,,,,,,G,6,3,205,R,7,13,1981,Sault Ste. Marie,ON,Canada,,,,,,
finlj001,Jeff,Finley,Jeffrey,John,Finley,,,,D,6,2,205,L,4,14,1967,Edmonton,AB,Canada,,,,,,
finlj002,Joe,Finley,,,,,,,D,6,8,247,,6,29,1987,Edina,MN,USA,,,,,,
finns001,Sid,Finney,Joseph,Sidney,Finney,,Sneaky,,C,5,11,160,L,5,1,1929,Bainbridge,,Ireland,2,3,2009,Calgary,AB,Canada
finne001,Ed,Finnigan,Edward,David,Finnigan,,,,L,5,8,170,L,5,23,1913,Shawville,QC,Canada,7,14,1997,,,
finnf001,Frank,Finnigan,Frank,Arthur,Finnigan,,The Shawville Express,,R,5,9,165,R,7,9,1903,Shawville,QC,Canada,12,25,1991,Shawville,QC,Canada
finns002,Steven,Finn,Steven,,Finn,,,,D,6,0,191,L,8,20,1966,Laval,QC,Canada,,,,,,
fiorp001,Peter,Fiorentino,Peter,N.,Fiorentino,,,,D,6,1,205,R,12,22,1968,Niagara Falls,ON,Canada,,,,,,
fiscj001,Jiri,Fischer,Jiri,,Fischer,,,,D,6,5,225,L,7,31,1980,Horovice,,Czech Republic,,,,,,
fiscp001,Patrick,Fischer,,,,,,,C,5,11,194,L,9,6,1975,Zug,,Switzerland,,,,,,
fiscr001,Ron,Fischer,Ronald,Alexander,Fischer,,,,D,6,2,195,R,4,12,1959,Meritt,BC,Canada,,,,,,
fises001,Stephane,Fiset,Stephane,,Fiset,,,,G,6,1,215,L,6,17,1970,Montreal,QC,Canada,,,,,,
fisha001,Alvin,Fisher,Alvin,Thomas,Fisher,,,,R,6,1,175,R,10,2,1894,Sault Ste.Marie,ON,Canada,,,Deceased,,,
fishc001,Craig,Fisher,Craig,Francis,Fisher,,,,L,6,3,180,L,6,30,1970,Oshawa,ON,Canada,,,,,,
fishd001,Dunc,Fisher,Duncan,Robert,Fisher,,,,R,5,7,170,R,8,30,1927,Regina,SK,Canada,,,,,,
fishj001,Joe,Fisher,Joseph,Henry,Fisher,,,,R,6,0,175,R,7,4,1916,Medicine Hat,AB,Canada,4,13,2002,Medicine Hat,AB,Canada
fishj002,John,Fisher,John,,Fisher,,,,C,5,11,185,L,12,21,1947,Ayr,,Scotland,,,,,,
fishm001,Mike,Fisher,Michael,,Fisher,,,,C,6,1,213,R,6,5,1980,Peterborough,ON,Canada,,,,,,
fistm001,Mark,Fistric,,,,,,,D,6,2,232,L,6,1,1986,Edmonton,AB,Canada,,,,,,
fitcb001,Bob,Fitchner,Robert,Douglas,Fitchner,,,,C,6,0,190,L,12,22,1950,Sudbury,ON,Canada,,,,,,
fitzr001,Rusty,Fitzgerald,Rusty,,Fitzgerald,,,,C,6,1,210,L,10,4,1972,Minneapolis,MN,USA,,,,,,
fitzt001,Tom,Fitzgerald,Thomas,James,Fitzgerald,,,,C,6,0,190,R,8,28,1968,Billerica,MA,USA,,,,,,
fitzz001,Zack,Fitzgerald,,,,,,,D,6,2,214,L,6,16,1985,Two Harbors,MN,USA,,,,,,
fitzm001,Mark,Fitzpatrick,Mark,,Fitzpatrick,,,,G,6,2,195,R,11,13,1968,Toronto,ON,Canada,,,,,,
fitzr002,Ross,Fitzpatrick,Ross,Edward,Fitzpatrick,,,,C,6,0,195,L,10,7,1960,Penticton,BC,Canada,,,,,,
fitzr003,Rory,Fitzpatrick,Rory,B.,Fitzpatrick,,Fitz,,D,6,2,208,R,1,11,1975,Rochester,NY,USA,,,,,,
fitzs001,Sandy,Fitzpatrick,Alexander,Stewart,Fitzpatrick,,,,C,6,1,195,L,12,22,1944,Paisley,,Scotland,,,,,,
flahw001,Wade,Flaherty,Wade,,Flaherty,,,,G,6,0,171,R,1,11,1968,Terrace,BC,Canada,,,,,,
flamf001,Fern,Flaman,Ferdinand,Charles,Flaman,,Fernie/The Bull,,D,5,10,190,R,1,25,1927,Dysart,SK,Canada,6,22,2012,,,
flatp001,Pat,Flatley,Patrick,William,Flatley,,Flats,,R,6,2,197,R,10,3,1963,Toronto,ON,Canada,,,,,,
fleit001,Tomas,Fleischmann,,,,,,,L,6,1,190,L,5,16,1984,Koprivnice,,Czech Republic,,,,,,
flemg001,Gerry,Fleming,Gerald,Alexander,Fleming,,,,L,6,5,253,L,10,16,1967,Montreal,QC,Canada,,,,,,
flemr001,Reggie,Fleming,Reginald,Stephen,Fleming,,The Ruffian,,L,5,8,170,L,4,21,1936,Montreal,QC,Canada,7,11,2009,Arlington Heights,IL,USA
flesj001,John,Flesch,John,Patrick,Flesch,,,,L,6,2,200,L,7,15,1953,Sudbury,ON,Canada,,,,,,
flets001,Steven,Fletcher,Steven,,Fletcher,,,,L,6,2,180,L,3,31,1962,Montreal,QC,Canada,,,,,,
fletb001,Bill,Flett,William,Myer,Flett,,Cowboy,,R,6,1,205,R,7,21,1943,Vermillion,AB,Canada,7,13,1999,,,
fleum001,Marc-Andre,Fleury,,,,,,,G,6,2,180,L,11,28,1984,Sorel,QC,Canada,,,,,,
fleut001,Theoren,Fleury,Theoren,Wallace,Fleury,,Theo,,R,5,6,182,R,6,29,1968,Oxbow,SK,Canada,,,,,,
flict001,Todd,Flichel,Todd,A.,Flichel,,,,D,6,3,195,R,9,14,1964,Osgoode,ON,Canada,,,,,,
flinr001,Ryan,Flinn,,,,,,,L,6,5,248,L,4,20,1980,Halifax,NS,Canada,,,,,,
flocr001,Rob,Flockhart,Robert,Walter,Flockhart,,,,R,6,0,185,L,2,6,1956,Sicamous,BC,Canada,,,,,,
flocr002,Ron,Flockhart,Ronald,E.,Flockhart,,Flockey,,F,5,11,190,L,10,10,1960,Smithers,BC,Canada,,,,,,
floom001,Mark,Flood,,,,,,,D,6,1,190,R,9,29,1984,Charlottetown,PE,Canada,,,,,,
floyl001,Larry,Floyd,Larry,David,Floyd,,,,R,5,8,180,L,5,1,1961,Peterborough,ON,Canada,,,,,,
fochd001,Dan,Focht,,,,,,,D,6,6,234,L,12,31,1977,Regina,SK,Canada,,,,,,
fogab001,Bryan,Fogarty,Bryan,,Fogarty,,,,D,6,2,206,L,6,11,1969,Montreal,QC,Canada,3,6,2002,Myrtle Beach,SC,USA
fogol001,Lee,Fogolin,Lidio,John,Fogolin,Sr.,,,D,5,11,195,L,2,27,1926,Fort William,ON,Canada,11,29,2000,,,
fogol002,Lee,Fogolin,Lee,Joseph,Fogolin,Jr.,Foggie,,D,6,0,200,R,2,7,1955,Chicago,IL,USA,,,,,,
folcp001,Peter,Folco,Peter,Kevin,Folco,,,,D,6,0,185,L,8,13,1953,Montreal,QC,Canada,,,,,,
foleg001,Gerry,Foley,Gerald,James,Foley,,,,R,5,11,165,R,9,22,1932,Ware,MA,USA,,,,,,
foler001,Rick,Foley,Gilbert,Anthony,Foley,,,,D,6,4,223,L,9,22,1945,Niagara Falls,ON,Canada,,,,,,
folim002,Marcus,Foligno,,,,,,,L,6,2,215,,8,10,1991,Buffalo,NY,USA,,,,,,
folim001,Mike,Foligno,Michael,Anthony,Foligno,,,,R,6,2,195,R,1,29,1959,Sudbury,ON,Canada,,,,,,
folin001,Nick,Foligno,,,,,,,L,6,0,192,L,10,31,1987,Buffalo,NY,USA,,,,,,
folkb001,Bill,Folk,William,Joseph,Folk,,,,D,5,11,190,L,7,11,1927,Regina,SK,Canada,,,,,,
fontj001,Jon,Fontas,Jonathan,,Fontas,,,,C,5,10,185,R,4,16,1955,Arlington,MA,USA,,,,,,
fontl001,Len,Fontaine,Leonard,Joseph,Fontaine,,,,C,5,7,165,R,2,25,1948,Quebec City,QC,Canada,,,,,,
fontv001,Val,Fonteyne,Valere,Ronald,Fonteyne,,,,L,5,10,160,L,12,2,1933,Wetaskiwin,AB,Canada,,,,,,
fontl002,Lou,Fontinato,Louis,,Fontinato,,Leaping Lou,,D,6,1,195,L,1,20,1932,Guelph,ON,Canada,,,,,,
foota001,Adam,Foote,Adam,David Vernon,Foote,,,,D,6,2,224,R,7,10,1971,Toronto,ON,Canada,,,,,,
forbc001,Colin,Forbes,Colin,,Forbes,,,,L,6,3,215,L,2,16,1976,New Westminster,BC,Canada,,,,,,
forbd001,Dave,Forbes,David,Stephen,Forbes,,,,L,5,10,180,L,11,16,1948,Montreal,QC,Canada,,,,,,
forbj001,Jake,Forbes,Vernor,Vivian,Forbes,,Jumpin' Jackie,,G,5,6,140,L,7,4,1897,Toronto,ON,Canada,12,30,1985,Hamilton,ON,Canada
forbm001,Mike,Forbes,Michael,D.,Forbes,,,,D,6,2,200,R,9,20,1957,Brampton,ON,Canada,,,,,,
fordb001,Brian,Ford,Brian,,Ford,,,,G,5,10,170,L,9,22,1961,Edmonton,AB,Canada,,,,,,
fordm001,Mike,Ford,Michael,Alfred,Ford,,,,D,6,1,185,R,7,26,1952,Ottawa,ON,Canada,,,,,,
forec001,Connie,Forey,Conley,Michael,Forey,,,,L,6,2,185,L,10,18,1950,Montreal,QC,Canada,,,,,,
forsp001,Peter,Forsberg,Peter,,Forsberg,,Foppa,,C,6,0,205,L,7,20,1973,Ornskoldsvik,,Sweden,,,,,,
forsj001,Jack,Forsey,John,,Forsey,,,,R,5,11,170,R,11,7,1914,Swift Current,SK,Canada,1,1,1998,Salmon Arm,BC,Canada
forsg001,Gus,Forslund,August,,Forslund,,,,R,5,10,150,R,4,25,1906,Umea,,Sweden,8,4,1962,Geraldton,ON,Canada
forst001,Tomas,Forslund,Tomas,,Forslund,,,,R,5,11,200,L,11,24,1968,Falun,,Sweden,,,,,,
forsa001,Alex,Forsyth,Alexander,,Forsyth,,,,F,6,2,195,L,1,6,1955,Galt,ON,Canada,,,,,,
fortd001,Dave,Fortier,David,Edward,Fortier,,,,D,5,11,190,L,6,17,1951,Sudbury,ON,Canada,,,,,,
fortf001,Florent,Fortier,Florent,,Fortier,,,,R,5,10,175,L,6,1,1955,Montreal,QC,Canada,,,,,,
fortj001,Jean-Francois,Fortin,,,,,,,D,6,2,205,R,3,15,1979,Laval,QC,Canada,,,,,,
fortm001,Marc,Fortier,Marc,,Fortier,,,,C,6,0,192,R,2,26,1966,Windsor,QC,Canada,,,,,,
fortr001,Ray,Fortin,Raymond,Henri,Fortin,,,,D,5,8,180,L,3,11,1941,Drummondville,QC,Canada,,,,,,
fortj002,Joe,Fortunato,Joseph,,Fortunato,,,,L,5,10,170,L,1,1,1955,Bari,,Italy,,,,,,
fortm002,Maxime,Fortunus,,,,,,,D,6,1,198,R,7,28,1983,La Prairie,QC,Canada,,,,,,
fosta001,Alex,Foster,,,,,,,C,6,1,200,L,8,26,1984,Canton,MI,USA,,,,,,
fostb001,Brian,Foster,,,,,,,G,6,1,175,,2,4,1987,Pembroke,NH,USA,,,,,,
fostc001,Corey,Foster,Corey,J.,Foster,,,,D,6,3,204,L,10,27,1969,Ottawa,ON,Canada,,,,,,
fostd001,Dwight,Foster,Dwight,Alexander,Foster,,Dewey,,F,5,10,190,R,4,2,1957,Toronto,ON,Canada,,,,,,
fosth001,Herb,Foster,Herbert,Stanley,Foster,,,,L,5,10,168,L,8,9,1913,Brockville,ON,Canada,6,2,2003,,,
fostk001,Kurtis,Foster,,,,,,,D,6,5,218,R,11,24,1981,Carp,ON,Canada,,,,,,
fostn001,Norm,Foster,Norman,Richard,Foster,,,,G,5,9,175,L,2,10,1965,Vancouver,BC,Canada,,,,,,
fosty001,Yip,Foster,Harold,Charles,Foster,,,,D,6,6,198,L,11,25,1907,Guelph,ON,Canada,6,4,1978,,,
fotin001,Nick,Fotiu,Nicholas,Evlampios,Fotiu,,Nicky Boy/Pie Face,,L,6,2,210,L,5,25,1952,Staten Island,NY,USA,,,,,,
fouck001,Kristopher,Foucault,,,,,,,L,6,1,202,,12,12,1990,Calgary,AB,Canada,,,,,,
founm001,Mike,Fountain,Michael,,Fountain,,,,G,6,1,180,L,1,26,1972,North York,ON,Canada,,,,,,
fowlc001,Cam,Fowler,,,,,,,D,6,1,190,,12,5,1991,Windsor,ON,Canada,,,,,,
fowlh001,Hec,Fowler,Norman,Bostock,Fowler,,,,G,5,11,190,L,10,14,1892,Peterborough,ON,Canada,7,30,1987,Saskatoon,SK,Canada
fowlj001,Jimmy,Fowler,James,William,Fowler,,The Blonde Bouncer,,D,5,11,168,L,4,6,1915,Toronto,ON,Canada,10,17,1985,,,
fowlt001,Tom,Fowler,Thomas,,Fowler,,,,L,5,11,165,L,5,18,1924,Winnipeg,MB,Canada,,,,,,
fox-g001,Greg,Fox,Gregory,Brent,Fox,,,,D,6,2,190,L,8,12,1953,Vancouver,BC,Canada,,,,,,
fox-j001,Jim,Fox,James,Charles,Fox,,,,R,5,8,185,R,5,18,1960,Coniston,ON,Canada,,,,,,
foy-m001,Matt,Foy,,,,,,,R,6,2,219,R,5,18,1983,Oakville,ON,Canada,,,,,,
foysf001,Frank,Foyston,Frank,Corbett,Foyston,,,,C,5,9,158,L,2,2,1891,Minesing,ON,Canada,1,19,1966,Seattle,WA,USA
framb001,Bob,Frampton,Robert,Percy James,Frampton,,,,L,5,10,175,L,1,20,1929,Toronto,ON,Canada,,,,,,
franb001,Bobby,Francis,Robert,Emile,Francis,,,,C,5,9,175,R,12,5,1958,North Battleford,SK,Canada,,,,,,
frane001,Emile,Francis,Emile,Percy,Francis,,The Cat,,G,5,6,145,L,9,13,1926,North Battleford,SK,Canada,,,,,,
franl001,Lou,Franceschetti,Louis,,Franceschetti,,,,R,6,0,200,L,3,28,1958,Toronto,ON,Canada,,,,,,
franr001,Ron,Francis,Ronald,Michael,Francis,,,,C,6,3,200,L,3,1,1963,Sault Ste. Marie,ON,Canada,,,,,,
franj001,Jimmy,Franks,James,Reginald,Franks,,,,G,5,11,156,L,11,8,1914,Melville,SK,Canada,2,12,1994,,,
franc001,Cody,Franson,,,,,,,D,6,5,214,R,8,8,1987,Salmon Arm,BC,Canada,,,,,,
franj002,Johan,Franzen,,,,,,,C,6,3,220,L,12,23,1979,Vetlanda,,Sweden,,,,,,
frasa001,Archie,Fraser,Archibald,McKay,Fraser,,Arch,,C,5,11,160,L,2,9,1914,Souris,MB,Canada,,,Deceased,,,
frasc001,Charles,Fraser,Charles,,Fraser,,,,D,5,10,165,L,7,22,1897,Stellarton,NS,Canada,8,9,1970,,,
