code,name,year,no,date,team,opp,loc,tw/l,gw/l,ga,sa,sho,pim,min,even,ppga,shga,eng
brodm001,Martin Brodeur,1991-92,1,19920326,NJ,Bos,NJ,W,W,2,26,0,0,59:50,,,,0
brodm001,Martin Brodeur,1991-92,2,19920328,NJ,Que,NJ,W,W,2,25,0,0,60:00,,,,0
brodm001,Martin Brodeur,1991-92,3,19920329,NJ,Phi,Phi,L,L,4,25,0,0,38:41,,,,0
brodm001,Martin Brodeur,1991-92,4,19920415,NJ,NYI,NYI,L,,2,9,0,0,20:00,,,,0
brodm001,Martin Brodeur,1993-94,1,19931008,NJ,Was,Was,W,W,3,26,0,0,59:44,,,,0
brodm001,Martin Brodeur,1993-94,2,19931012,NJ,Win,NJ,W,W,4,30,0,0,60:00,,,,0
brodm001,Martin Brodeur,1993-94,3,19931020,NJ,Ana,NJ,W,W,0,17,1,0,60:00,,,,0
