code,name,gameid,tm,away,home,w/l,r,or,ab,r,h,2b,3b,hr,rbi,ci,sh,sf,hb,bb,ib,so,sb,cs,gdp,pos
weavj003,Jered Weaver,200704170,ALA,ALA,OAK,L,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
weavj003,Jered Weaver,200704230,ALA,DET,ALA,L,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
weavj003,Jered Weaver,200704280,ALA,ALA,CHA,W,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
weavj003,Jered Weaver,200705030,ALA,ALA,KCA,L,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
weavj003,Jered Weaver,200705090,ALA,CLE,ALA,W,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
weavj003,Jered Weaver,200705140,ALA,ALA,TEX,W,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
