code,yr,REG,team,lg,g,gs,cg,gf,sho,sv,bs,w,l,ipf,ipt,h,tbf,r,er,hr,sh,sf,bb,ibb,hb,so,wp,bk
weavj003,2006,REG,ALA,A,19,19,0,0,0,0,0,11,2,123,0,94,490,36,35,15,2,2,33,1,3,105,2,0
weavj003,2007,REG,ALA,A,28,28,0,0,0,0,0,13,7,161,0,178,695,77,70,17,5,5,45,3,2,115,4,0
weavj003,2008,REG,ALA,A,30,30,0,0,0,0,0,11,10,176,2,173,745,88,85,20,1,4,54,4,6,152,3,0
weavj003,2009,REG,ALA,A,33,33,4,0,2,0,0,16,8,211,0,196,882,91,88,26,6,8,66,3,4,174,3,0
weavj003,2010,REG,ALA,A,34,34,0,0,0,0,0,13,12,224,1,187,905,83,75,23,2,5,54,0,0,233,7,1
weavj003,2011,REG,ALA,A,33,33,4,0,2,0,0,18,8,235,2,182,926,65,63,20,5,5,56,0,3,198,8,0
