code,name,gameid,tm,away,home,w/l,r,or,ab,r,h,2b,3b,hr,rbi,ci,sh,sf,hb,bb,ib,so,sb,cs,gdp,pos
jeted001,Derek Jeter,199505290,NYA,NYA,SEA,L,7,8,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SS
jeted001,Derek Jeter,199505300,NYA,NYA,SEA,L,3,7,3,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,SS
jeted001,Derek Jeter,199505310,NYA,NYA,SEA,L,9,11,3,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,SS
jeted001,Derek Jeter,199506020,NYA,CAL,NYA,L,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SS
jeted001,Derek Jeter,199506030,NYA,CAL,NYA,L,2,4,4,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,SS
